************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    10
engine_to_start      20
steps                302
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
algorithm compare
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
datafile  	time_cost                                                                                           	|ontime_proportion                                                                                   	|max_delay                                                                                           	|avg_delay                                                                                           	|avg_flowtime                                                                                        	|object_function_value                                                                               	|
          	RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|
3_8       	175ms             	172ms             	60685ms           	61207ms           	56696ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|16.800000         	16.666667         	16.200000         	15.966667         	16.066667           	|-440.000000       	-444.444444       	-460.000000       	-467.777778       	-464.444444         	|
3_9       	1189ms            	185ms             	67135ms           	68088ms           	59170ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|17.233333         	17.600000         	16.833333         	17.000000         	16.900000           	|-425.555556       	-413.333333       	-438.888889       	-433.333333       	-436.666667         	|
3_10      	171ms             	167ms             	62045ms           	68649ms           	56404ms             	|0.866667          	0.900000          	0.966667          	0.966667          	0.966667            	|3                 	2                 	1                 	1                 	1                   	|0.233333          	0.133333          	0.033333          	0.033333          	0.033333            	|19.933333         	20.200000         	18.400000         	18.333333         	18.566667           	|997.777778        	673.333333        	-53.333333        	-55.555556        	-47.777778          	|
3_11      	178ms             	183ms             	64253ms           	71677ms           	55260ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|18.033333         	18.666667         	17.100000         	17.300000         	17.366667           	|-398.888889       	-377.777778       	-430.000000       	-423.333333       	-421.111111         	|
3_12      	190ms             	199ms             	66558ms           	67261ms           	56531ms             	|0.966667          	0.966667          	1.000000          	1.000000          	1.000000            	|1                 	1                 	0                 	0                 	0                   	|0.033333          	0.033333          	0.000000          	0.000000          	0.000000            	|18.966667         	19.400000         	18.166667         	17.933333         	18.133333           	|-34.444444        	-20.000000        	-394.444444       	-402.222222       	-395.555556         	|
3_13      	329ms             	189ms             	68130ms           	60768ms           	59110ms             	|0.933333          	0.900000          	1.000000          	1.000000          	1.000000            	|4                 	3                 	0                 	0                 	0                   	|0.200000          	0.200000          	0.000000          	0.000000          	0.000000            	|17.900000         	19.466667         	17.166667         	17.433333         	17.100000           	|263.333333        	648.888889        	-427.777778       	-418.888889       	-430.000000         	|
3_14      	290ms             	196ms             	69383ms           	74513ms           	66702ms             	|0.833333          	0.900000          	1.000000          	1.000000          	1.000000            	|4                 	3                 	0                 	0                 	0                   	|0.466667          	0.233333          	0.000000          	0.000000          	0.000000            	|20.033333         	19.533333         	18.733333         	18.800000         	18.733333           	|1334.444444       	651.111111        	-375.555556       	-373.333333       	-375.555556         	|
3_15      	255ms             	203ms             	64299ms           	67821ms           	55510ms             	|0.933333          	0.833333          	0.933333          	0.966667          	0.966667            	|2                 	4                 	1                 	2                 	3                   	|0.100000          	0.400000          	0.066667          	0.066667          	0.100000            	|20.566667         	21.066667         	19.633333         	19.400000         	19.433333           	|352.222222        	1368.888889       	321.111111        	-20.000000        	-18.888889          	|
3_16      	214ms             	201ms             	68679ms           	71521ms           	57479ms             	|0.966667          	0.966667          	0.966667          	0.966667          	0.966667            	|1                 	1                 	1                 	1                 	1                   	|0.033333          	0.033333          	0.033333          	0.033333          	0.033333            	|18.400000         	18.566667         	17.600000         	17.600000         	17.600000           	|-53.333333        	-47.777778        	-80.000000        	-80.000000        	-80.000000          	|
3_17      	232ms             	226ms             	65023ms           	66799ms           	55214ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|18.300000         	18.400000         	17.300000         	17.566667         	17.333333           	|-390.000000       	-386.666667       	-423.333333       	-414.444444       	-422.222222         	|
3_18      	229ms             	208ms             	66965ms           	67424ms           	58450ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|15.133333         	15.166667         	14.666667         	14.800000         	14.766667           	|-495.555556       	-494.444444       	-511.111111       	-506.666667       	-507.777778         	|
3_19      	207ms             	368ms             	68615ms           	83958ms           	54865ms             	|0.966667          	1.000000          	1.000000          	1.000000          	1.000000            	|2                 	0                 	0                 	0                 	0                   	|0.066667          	0.000000          	0.000000          	0.000000          	0.000000            	|19.733333         	20.200000         	19.566667         	19.700000         	19.666667           	|-8.888889         	-326.666667       	-347.777778       	-343.333333       	-344.444444         	|
4_0       	186ms             	215ms             	68089ms           	72883ms           	55230ms             	|0.900000          	0.933333          	0.966667          	0.966667          	0.966667            	|4                 	4                 	3                 	3                 	1                   	|0.233333          	0.200000          	0.100000          	0.100000          	0.033333            	|23.200000         	23.100000         	22.133333         	22.566667         	22.133333           	|773.333333        	436.666667        	71.111111         	85.555556         	71.111111           	|
4_1       	254ms             	221ms             	65992ms           	66260ms           	60532ms             	|0.866667          	0.866667          	0.966667          	0.966667          	0.966667            	|7                 	4                 	5                 	6                 	7                   	|0.533333          	0.366667          	0.166667          	0.200000          	0.233333            	|20.766667         	20.533333         	19.466667         	19.166667         	19.566667           	|1025.555556       	1017.777778       	-17.777778        	-27.777778        	-14.444444          	|
4_2       	197ms             	195ms             	75180ms           	66131ms           	55665ms             	|0.766667          	0.833333          	0.933333          	0.933333          	0.933333            	|4                 	4                 	4                 	4                 	3                   	|0.633333          	0.533333          	0.200000          	0.233333          	0.166667            	|22.333333         	22.300000         	22.133333         	21.866667         	21.533333           	|2077.777778       	1410.000000       	404.444444        	395.555556        	384.444444          	|
4_3       	195ms             	204ms             	66881ms           	69569ms           	56713ms             	|0.733333          	0.700000          	0.900000          	0.933333          	0.933333            	|8                 	7                 	6                 	8                 	1                   	|1.133333          	1.133333          	0.400000          	0.333333          	0.066667            	|24.566667         	24.933333         	23.533333         	23.833333         	23.433333           	|2485.555556       	2831.111111       	784.444444        	461.111111        	447.777778          	|
4_4       	295ms             	202ms             	66368ms           	59509ms           	65086ms             	|0.933333          	0.966667          	1.000000          	1.000000          	1.000000            	|3                 	3                 	0                 	0                 	0                   	|0.133333          	0.100000          	0.000000          	0.000000          	0.000000            	|21.533333         	21.666667         	21.300000         	21.033333         	20.966667           	|384.444444        	55.555556         	-290.000000       	-298.888889       	-301.111111         	|
4_5       	216ms             	210ms             	62547ms           	51837ms           	59096ms             	|0.933333          	0.866667          	0.966667          	0.966667          	0.966667            	|3                 	3                 	3                 	3                 	3                   	|0.133333          	0.200000          	0.100000          	0.100000          	0.100000            	|18.533333         	19.466667         	18.066667         	18.233333         	18.066667           	|284.444444        	982.222222        	-64.444444        	-58.888889        	-64.444444          	|
4_6       	182ms             	190ms             	63059ms           	54643ms           	54812ms             	|0.800000          	0.733333          	0.900000          	0.933333          	0.933333            	|9                 	10                	10                	5                 	11                  	|0.966667          	1.166667          	0.666667          	0.300000          	0.500000            	|23.600000         	24.400000         	22.666667         	23.200000         	23.333333           	|1786.666667       	2480.000000       	755.555556        	440.000000        	444.444444          	|
4_7       	194ms             	213ms             	53007ms           	54100ms           	55124ms             	|0.900000          	0.900000          	0.966667          	0.966667          	0.966667            	|3                 	1                 	1                 	1                 	2                   	|0.166667          	0.100000          	0.033333          	0.033333          	0.066667            	|20.866667         	21.000000         	20.066667         	20.133333         	20.233333           	|695.555556        	700.000000        	2.222222          	4.444444          	7.777778            	|
4_8       	205ms             	227ms             	58803ms           	62305ms           	59678ms             	|0.900000          	0.800000          	0.966667          	0.966667          	0.966667            	|5                 	4                 	2                 	5                 	5                   	|0.300000          	0.433333          	0.066667          	0.166667          	0.166667            	|23.833333         	23.766667         	23.233333         	22.566667         	22.666667           	|794.444444        	1792.222222       	107.777778        	85.555556         	88.888889           	|
4_9       	245ms             	260ms             	57064ms           	59236ms           	58952ms             	|0.900000          	0.900000          	0.933333          	0.933333          	0.933333            	|3                 	3                 	4                 	4                 	4                   	|0.233333          	0.200000          	0.166667          	0.200000          	0.166667            	|22.200000         	22.566667         	21.400000         	21.466667         	20.900000           	|740.000000        	752.222222        	380.000000        	382.222222        	363.333333          	|
4_10      	196ms             	252ms             	54437ms           	58172ms           	57003ms             	|0.766667          	0.800000          	0.933333          	0.933333          	0.900000            	|7                 	5                 	4                 	3                 	4                   	|0.933333          	0.400000          	0.266667          	0.133333          	0.366667            	|23.266667         	23.266667         	22.266667         	22.600000         	22.033333           	|2108.888889       	1775.555556       	408.888889        	420.000000        	734.444444          	|
4_11      	299ms             	281ms             	56181ms           	57013ms           	59077ms             	|0.900000          	0.966667          	1.000000          	1.000000          	1.000000            	|4                 	3                 	0                 	0                 	0                   	|0.233333          	0.100000          	0.000000          	0.000000          	0.000000            	|20.666667         	20.600000         	20.066667         	20.000000         	19.633333           	|688.888889        	20.000000         	-331.111111       	-333.333333       	-345.555556         	|
4_12      	202ms             	384ms             	55103ms           	56940ms           	56715ms             	|0.900000          	0.833333          	0.966667          	0.966667          	0.966667            	|3                 	4                 	4                 	3                 	4                   	|0.233333          	0.433333          	0.133333          	0.100000          	0.133333            	|21.500000         	22.500000         	21.200000         	21.100000         	21.166667           	|716.666667        	1416.666667       	40.000000         	36.666667         	38.888889           	|
4_13      	226ms             	375ms             	56147ms           	55882ms           	60368ms             	|0.766667          	0.800000          	0.900000          	0.900000          	0.933333            	|7                 	6                 	6                 	7                 	5                   	|1.033333          	0.733333          	0.433333          	0.466667          	0.266667            	|21.566667         	21.666667         	20.833333         	21.000000         	20.733333           	|2052.222222       	1722.222222       	694.444444        	700.000000        	357.777778          	|
4_14      	182ms             	502ms             	51778ms           	52570ms           	65468ms             	|0.766667          	0.766667          	0.833333          	0.866667          	0.866667            	|9                 	7                 	6                 	6                 	6                   	|1.266667          	1.100000          	0.666667          	0.500000          	0.533333            	|21.066667         	20.966667         	20.066667         	19.933333         	20.233333           	|2035.555556       	2032.222222       	1335.555556       	997.777778        	1007.777778         	|
4_15      	181ms             	607ms             	55848ms           	57450ms           	60863ms             	|0.866667          	0.866667          	0.966667          	0.966667          	0.966667            	|4                 	4                 	2                 	3                 	2                   	|0.266667          	0.366667          	0.066667          	0.100000          	0.066667            	|22.233333         	22.233333         	21.233333         	21.600000         	21.300000           	|1074.444444       	1074.444444       	41.111111         	53.333333         	43.333333           	|
4_16      	387ms             	620ms             	55338ms           	49818ms           	58560ms             	|0.833333          	0.900000          	1.000000          	0.966667          	0.966667            	|3                 	3                 	0                 	3                 	1                   	|0.333333          	0.166667          	0.000000          	0.100000          	0.033333            	|20.466667         	20.733333         	19.200000         	19.433333         	19.133333           	|1348.888889       	691.111111        	-360.000000       	-18.888889        	-28.888889          	|
4_17      	276ms             	577ms             	50588ms           	42779ms           	53479ms             	|0.900000          	0.933333          	1.000000          	1.000000          	1.000000            	|6                 	5                 	0                 	0                 	0                   	|0.400000          	0.200000          	0.000000          	0.000000          	0.000000            	|21.833333         	22.333333         	21.100000         	21.200000         	21.366667           	|727.777778        	411.111111        	-296.666667       	-293.333333       	-287.777778         	|
4_18      	222ms             	574ms             	53741ms           	44108ms           	55653ms             	|0.800000          	0.833333          	0.933333          	0.933333          	0.933333            	|8                 	6                 	6                 	3                 	5                   	|1.000000          	0.633333          	0.266667          	0.133333          	0.300000            	|22.633333         	22.566667         	21.666667         	21.233333         	21.733333           	|1754.444444       	1418.888889       	388.888889        	374.444444        	391.111111          	|
4_19      	196ms             	648ms             	54430ms           	44517ms           	55859ms             	|0.800000          	0.866667          	1.000000          	1.000000          	1.000000            	|5                 	2                 	0                 	0                 	0                   	|0.566667          	0.200000          	0.000000          	0.000000          	0.000000            	|21.400000         	21.233333         	19.966667         	20.166667         	20.133333           	|1713.333333       	1041.111111       	-334.444444       	-327.777778       	-328.888889         	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
avg       	324.67            	259.31            	65452.89          	67005.94          	58280.75            	|0.9066667         	0.90800005        	0.9716667         	0.97233338        	0.97366672          	|2.97              	2.66              	1.49              	1.63              	1.57                	|0.2803333         	0.24999997        	0.09466667        	0.09333331        	0.09333335          	|20.18766668       	20.41333336       	19.36933332       	19.44299998       	19.36366669         	|606.25555554      	600.44444444      	-71.02222225      	-75.23333334      	-91.21111112        	|
max       	1605.0            	2856.0            	89194.0           	86254.0           	70719.0             	|1.0               	1.0               	1.0               	1.0               	1.0                 	|10.0              	10.0              	10.0              	8.0               	11.0                	|1.966667          	1.933333          	1.333333          	1.233333          	1.533333            	|24.566667         	25.033333         	24.366667         	23.833333         	23.9                	|3806.666667       	3108.888889       	2027.777778       	2026.666667       	2032.222222         	|
min       	100.0             	167.0             	50588.0           	42779.0           	52619.0             	|0.6               	0.666667          	0.766667          	0.766667          	0.766667            	|0.0               	0.0               	0.0               	0.0               	0.0                 	|0.0               	0.0               	0.0               	0.0               	0.0                 	|15.133333         	15.166667         	14.666667         	14.8              	14.766667           	|-495.555556       	-494.444444       	-511.111111       	-506.666667       	-507.777778         	|
************************************************************************************************************************************************************************************************************************************************************************************************************
