************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    40
engine_to_start      50
steps                902
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
algorithm compare
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
datafile  	time_cost                                                                                           	|ontime_proportion                                                                                   	|max_delay                                                                                           	|avg_delay                                                                                           	|avg_flowtime                                                                                        	|object_function_value                                                                               	|
          	RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|
3_8       	5154ms            	5361ms            	2901671ms         	2883462ms         	1488496ms           	|0.666667          	0.622222          	0.722222          	0.733333          	0.877778            	|30                	24                	28                	28                	27                  	|5.588889          	4.355556          	4.055556          	4.877778          	1.833333            	|31.388889         	35.300000         	31.977778         	29.855556         	26.933333           	|3379.629630       	3954.444444       	2843.703704       	2661.851852       	1120.000000         	|
3_9       	5213ms            	6062ms            	2852133ms         	2996507ms         	1455383ms           	|0.533333          	0.522222          	0.677778          	0.700000          	0.722222            	|34                	34                	37                	35                	36                  	|7.200000          	5.566667          	5.000000          	5.544444          	4.833333            	|36.000000         	37.233333         	34.044444         	33.688889         	31.466667           	|4866.666667       	5018.888889       	3357.037037       	3122.962963       	2826.666667         	|
3_10      	5493ms            	5950ms            	2915351ms         	3037803ms         	1600499ms           	|0.588889          	0.477778          	0.633333          	0.655556          	0.666667            	|45                	48                	43                	43                	45                  	|7.477778          	8.444444          	6.566667          	5.811111          	6.833333            	|32.133333         	37.688889         	33.400000         	29.800000         	29.566667           	|4182.222222       	5478.518519       	3780.000000       	3437.777778       	3318.888889         	|
3_11      	5372ms            	5379ms            	2800412ms         	2844175ms         	1458389ms           	|0.533333          	0.488889          	0.633333          	0.666667          	0.655556            	|43                	41                	43                	45                	45                  	|7.111111          	7.133333          	6.433333          	6.844444          	5.877778            	|35.144444         	37.455556         	35.233333         	34.811111         	31.933333           	|4838.148148       	5359.629630       	3841.111111       	3493.703704       	3508.888889         	|
3_12      	5746ms            	5876ms            	3047840ms         	3073223ms         	1563987ms           	|0.588889          	0.533333          	0.688889          	0.711111          	0.788889            	|33                	31                	32                	26                	28                  	|6.677778          	5.488889          	4.544444          	4.211111          	2.555556            	|33.811111         	36.166667         	33.444444         	31.122222         	28.277778           	|4238.148148       	4872.222222       	3225.925926       	2926.296296       	2053.703704         	|
3_13      	5527ms            	6050ms            	2834096ms         	3146695ms         	1555410ms           	|0.500000          	0.433333          	0.622222          	0.622222          	0.677778            	|39                	36                	38                	37                	37                  	|7.877778          	6.333333          	5.755556          	6.833333          	4.066667            	|34.311111         	36.888889         	34.200000         	32.444444         	30.077778           	|5143.703704       	5896.296296       	3917.777778       	3859.259259       	3224.814815         	|
3_14      	5168ms            	5746ms            	2837986ms         	3241823ms         	1451638ms           	|0.644444          	0.566667          	0.677778          	0.688889          	0.722222            	|38                	35                	38                	40                	38                  	|5.900000          	5.622222          	5.555556          	5.888889          	5.344444            	|33.366667         	35.611111         	34.044444         	31.455556         	32.788889           	|3667.777778       	4520.370370       	3357.037037       	3159.629630       	2870.740741         	|
3_15      	5720ms            	6429ms            	2861586ms         	3320841ms         	1529238ms           	|0.622222          	0.577778          	0.733333          	0.722222          	0.766667            	|33                	28                	24                	30                	30                  	|6.944444          	5.044444          	3.155556          	4.933333          	4.300000            	|34.522222         	35.066667         	32.022222         	30.266667         	30.622222           	|3928.518519       	4391.111111       	2734.074074       	2786.666667       	2354.074074         	|
3_16      	5286ms            	6590ms            	2894692ms         	3143838ms         	1528853ms           	|0.566667          	0.488889          	0.622222          	0.655556          	0.666667            	|34                	35                	34                	36                	37                  	|7.088889          	7.277778          	5.066667          	6.866667          	6.111111            	|33.222222         	36.322222         	32.055556         	30.688889         	29.888889           	|4440.740741       	5321.851852       	3846.296296       	3467.407407       	3329.629630         	|
3_17      	5170ms            	6152ms            	2793217ms         	3023313ms         	1508237ms           	|0.511111          	0.422222          	0.633333          	0.677778          	0.644444            	|36                	37                	34                	36                	35                  	|7.877778          	7.833333          	5.733333          	6.922222          	7.344444            	|36.100000         	40.022222         	35.744444         	32.733333         	34.700000           	|5092.222222       	6111.851852       	3858.148148       	3313.333333       	3712.222222         	|
3_18      	5150ms            	6555ms            	2974041ms         	3118813ms         	2421377ms           	|0.566667          	0.577778          	0.700000          	0.733333          	0.788889            	|31                	32                	28                	31                	29                  	|6.633333          	5.477778          	3.511111          	4.900000          	3.388889            	|34.488889         	34.822222         	32.266667         	29.888889         	28.855556           	|4482.962963       	4382.962963       	3075.555556       	2662.962963       	2072.962963         	|
3_19      	5770ms            	11621ms           	3429373ms         	3545839ms         	2892797ms           	|0.600000          	0.500000          	0.666667          	0.688889          	0.722222            	|34                	31                	31                	33                	33                  	|6.522222          	5.677778          	4.666667          	5.277778          	5.733333            	|31.544444         	35.400000         	29.711111         	28.566667         	29.144444           	|4051.481481       	5180.000000       	3323.703704       	3063.333333       	2749.259259         	|
4_0       	5475ms            	12792ms           	2829064ms         	3072068ms         	2389159ms           	|0.677778          	0.611111          	0.722222          	0.744444          	0.777778            	|32                	27                	33                	33                	31                  	|4.911111          	3.822222          	3.488889          	4.722222          	2.111111            	|31.333333         	34.588889         	31.622222         	29.722222         	26.944444           	|3266.666667       	4041.851852       	2831.851852       	2546.296296       	2120.370370         	|
4_1       	5458ms            	10494ms           	2939579ms         	2918065ms         	2501997ms           	|0.633333          	0.555556          	0.700000          	0.744444          	0.755556            	|37                	32                	33                	33                	32                  	|5.311111          	4.800000          	3.811111          	4.655556          	3.888889            	|31.722222         	35.777778         	32.044444         	31.400000         	30.144444           	|3724.074074       	4637.037037       	3068.148148       	2602.222222       	2449.259259         	|
4_2       	4857ms            	7649ms            	2584147ms         	2630908ms         	1949035ms           	|0.644444          	0.622222          	0.744444          	0.755556          	0.777778            	|30                	28                	28                	30                	26                  	|6.400000          	4.733333          	3.277778          	4.200000          	2.344444            	|33.166667         	35.822222         	32.733333         	29.966667         	29.988889           	|3661.111111       	3971.851852       	2646.666667       	2443.333333       	2221.851852         	|
4_3       	5143ms            	9339ms            	2754151ms         	2826643ms         	2360922ms           	|0.600000          	0.555556          	0.677778          	0.733333          	0.711111            	|36                	31                	33                	33                	35                  	|6.211111          	4.933333          	5.311111          	4.700000          	3.477778            	|31.566667         	33.911111         	31.200000         	28.144444         	27.977778           	|4052.222222       	4574.814815       	3262.222222       	2604.814815       	2821.481481         	|
4_4       	5335ms            	12502ms           	2926884ms         	3093723ms         	2268915ms           	|0.577778          	0.511111          	0.655556          	0.666667          	0.733333            	|29                	26                	29                	28                	26                  	|6.677778          	6.311111          	5.066667          	5.466667          	3.977778            	|31.888889         	34.977778         	30.333333         	29.222222         	27.888889           	|4285.185185       	5054.814815       	3455.555556       	3307.407407       	2596.296296         	|
4_5       	6088ms            	12448ms           	3200103ms         	3461503ms         	2727603ms           	|0.655556          	0.677778          	0.800000          	0.755556          	0.811111            	|33                	31                	32                	32                	25                  	|4.844444          	3.977778          	2.922222          	3.711111          	1.600000            	|31.388889         	32.833333         	29.166667         	27.477778         	26.622222           	|3490.740741       	3316.666667       	1972.222222       	2360.370370       	1776.296296         	|
4_6       	4367ms            	7026ms            	2361454ms         	2365755ms         	1911554ms           	|0.555556          	0.488889          	0.644444          	0.655556          	0.700000            	|40                	31                	37                	36                	36                  	|8.211111          	5.866667          	5.688889          	6.055556          	4.877778            	|36.577778         	36.566667         	34.144444         	31.322222         	30.044444           	|4663.703704       	5330.000000       	3693.703704       	3488.518519       	3001.481481         	|
4_7       	5590ms            	6126ms            	3034599ms         	3060800ms         	2363989ms           	|0.666667          	0.611111          	0.777778          	0.755556          	0.866667            	|31                	30                	29                	29                	29                  	|5.233333          	4.755556          	3.188889          	3.855556          	2.177778            	|31.355556         	35.611111         	30.488889         	30.033333         	27.388889           	|3378.518519       	4075.925926       	2238.518519       	2445.555556       	1246.296296         	|
4_8       	5284ms            	5144ms            	2485528ms         	2636546ms         	2026634ms           	|0.500000          	0.444444          	0.633333          	0.622222          	0.633333            	|40                	38                	40                	41                	39                  	|7.011111          	7.800000          	7.466667          	7.944444          	6.977778            	|32.311111         	36.622222         	33.977778         	32.300000         	30.800000           	|5077.037037       	5776.296296       	3799.259259       	3854.444444       	3693.333333         	|
4_9       	4792ms            	5207ms            	2606246ms         	2766574ms         	2253862ms           	|0.588889          	0.511111          	0.644444          	0.666667          	0.688889            	|43                	37                	41                	39                	41                  	|7.300000          	5.888889          	6.166667          	6.755556          	5.900000            	|32.955556         	36.100000         	33.077778         	31.133333         	30.122222           	|4209.629630       	5092.222222       	3658.148148       	3371.111111       	3115.185185         	|
4_10      	5339ms            	5901ms            	2678433ms         	2837445ms         	2033760ms           	|0.622222          	0.600000          	0.722222          	0.711111          	0.800000            	|29                	29                	30                	30                	28                  	|6.600000          	5.022222          	4.233333          	4.844444          	2.755556            	|33.655556         	35.844444         	31.244444         	29.677778         	28.222222           	|3899.629630       	4194.814815       	2819.259259       	2878.148148       	1940.740741         	|
4_11      	5996ms            	6080ms            	3032900ms         	3325187ms         	2369757ms           	|0.622222          	0.588889          	0.700000          	0.722222          	0.755556            	|28                	26                	26                	29                	27                  	|5.933333          	4.622222          	3.422222          	4.355556          	2.700000            	|31.000000         	34.166667         	30.800000         	27.944444         	28.688889           	|3811.111111       	4250.000000       	3026.666667       	2709.259259       	2400.740741         	|
4_12      	5993ms            	6588ms            	2841650ms         	2888627ms         	2339995ms           	|0.644444          	0.644444          	0.777778          	0.744444          	0.788889            	|27                	26                	30                	27                	25                  	|6.222222          	3.477778          	3.066667          	4.233333          	3.133333            	|29.577778         	31.111111         	27.944444         	26.533333         	27.033333           	|3541.481481       	3592.592593       	2153.703704       	2440.000000       	2012.222222         	|
4_13      	6624ms            	7107ms            	3321298ms         	3433872ms         	2761390ms           	|0.744444          	0.700000          	0.788889          	0.777778          	0.822222            	|27                	24                	25                	26                	21                  	|3.844444          	2.844444          	2.355556          	3.633333          	2.155556            	|28.888889         	31.900000         	28.566667         	26.844444         	26.177778           	|2518.518519       	3063.333333       	2063.333333       	2117.037037       	1650.370370         	|
4_14      	5947ms            	6929ms            	3280292ms         	3433524ms         	2560067ms           	|0.644444          	0.566667          	0.722222          	0.711111          	0.811111            	|29                	29                	27                	29                	28                  	|5.588889          	5.322222          	4.144444          	4.633333          	3.288889            	|29.155556         	32.144444         	29.088889         	27.722222         	25.844444           	|3527.407407       	4404.814815       	2747.407407       	2812.962963       	1750.370370         	|
4_15      	4842ms            	5245ms            	2522735ms         	2519549ms         	2013960ms           	|0.622222          	0.577778          	0.722222          	0.744444          	0.833333            	|31                	26                	29                	30                	26                  	|5.888889          	4.611111          	3.755556          	4.166667          	1.466667            	|33.288889         	37.355556         	32.422222         	30.100000         	27.822222           	|3887.407407       	4467.407407       	2858.518519       	2558.888889       	1594.074074         	|
4_16      	5248ms            	5907ms            	2416974ms         	2571145ms         	2051774ms           	|0.677778          	0.611111          	0.755556          	0.755556          	0.822222            	|29                	29                	27                	29                	28                  	|5.900000          	4.055556          	3.377778          	4.766667          	2.388889            	|33.455556         	35.633333         	32.322222         	30.488889         	29.377778           	|3337.407407       	4076.666667       	2521.851852       	2460.740741       	1757.037037         	|
4_17      	5337ms            	5819ms            	2439491ms         	2552563ms         	2272972ms           	|0.677778          	0.633333          	0.766667          	0.777778          	0.844444            	|28                	28                	28                	30                	25                  	|5.022222          	4.322222          	3.677778          	4.211111          	1.944444            	|31.155556         	34.900000         	30.722222         	28.711111         	27.422222           	|3260.740741       	3830.000000       	2357.407407       	2179.259259       	1469.629630         	|
4_18      	4463ms            	5002ms            	2183054ms         	2174611ms         	1990703ms           	|0.611111          	0.644444          	0.755556          	0.733333          	0.833333            	|33                	30                	33                	33                	27                  	|5.666667          	3.366667          	3.266667          	4.133333          	1.566667            	|31.588889         	33.977778         	31.988889         	29.633333         	28.244444           	|3941.851852       	3688.148148       	2510.740741       	2654.444444       	1608.148148         	|
4_19      	5556ms            	6365ms            	2153353ms         	1918557ms         	2069092ms           	|0.600000          	0.600000          	0.722222          	0.722222          	0.788889            	|32                	26                	27                	30                	28                  	|7.122222          	4.511111          	4.055556          	5.477778          	2.477778            	|35.444444         	35.888889         	30.500000         	29.266667         	29.322222           	|4181.481481       	4196.296296       	2794.444444       	2753.333333       	2088.518519         	|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
avg       	7535.97           	6850.45           	2601154.29        	2703486.62        	2079641.65          	|0.62044444        	0.57644447        	0.70977775        	0.72277774        	0.76588892          	|31.66             	30.06             	30.76             	31.17             	30.13               	|5.87977776        	5.07577778        	4.18700004        	4.77366665        	3.48411115          	|31.89411111       	34.29822226       	31.10277768       	29.28288886       	28.48900002         	|3858.6925926      	4378.82962964     	2938.98148149     	2748.31851852     	2290.74444442       	|
max       	12110.0           	13657.0           	3429373.0         	3571603.0         	2892797.0           	|0.755556          	0.722222          	0.822222          	0.844444          	0.966667            	|45.0              	48.0              	43.0              	45.0              	45.0                	|9.077778          	8.444444          	7.466667          	8.522222          	8.755556            	|36.833333         	40.022222         	36.144444         	35.388889         	34.7                	|5320.37037        	6255.555556       	4449.62963        	4125.925926       	4226.666667         	|
min       	4367.0            	5002.0            	1702550.0         	1682403.0         	1369556.0           	|0.488889          	0.4               	0.566667          	0.6               	0.588889            	|21.0              	19.0              	20.0              	21.0              	16.0                	|2.488889          	2.055556          	1.888889          	2.166667          	0.488889            	|26.1              	27.044444         	25.422222         	23.855556         	22.722222           	|2374.444444       	2738.518519       	1706.666667       	1422.962963       	120.37037           	|
************************************************************************************************************************************************************************************************************************************************************************************************************
